PASS
ok  	github.com/olekukonko/tablewriter	0.296s
?   	github.com/olekukonko/tablewriter/cmd/csv2table	[no test files]
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWrapString-8             	   10486	    112255 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    113114 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112905 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    113063 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112948 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112832 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    114231 ns/op	   54026 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    114116 ns/op	   54026 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    114365 ns/op	   54026 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    114504 ns/op	   54026 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    114471 ns/op	   54026 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    114478 ns/op	   54027 B/op	      51 allocs/op
PASS
ok  	github.com/olekukonko/tablewriter/pkg/twwarp	14.624s
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwidth
cpu: Apple M2
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 2821874	       391.4 ns/op	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3078837	       390.1 ns/op	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3086414	       389.6 ns/op	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3079550	       389.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3065905	       389.4 ns/op	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3080320	       390.0 ns/op	     112 B/op	       3 allocs/op
