PASS
ok  	github.com/olekukonko/tablewriter	0.281s
?   	github.com/olekukonko/tablewriter/cmd/csv2table	[no test files]
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWrapString-8             	   10495	    111493 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    110956 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112951 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112180 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112250 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    111871 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113560 ns/op	   54026 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113485 ns/op	   54026 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113285 ns/op	   54026 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113111 ns/op	   54026 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113358 ns/op	   54026 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    114032 ns/op	   54026 B/op	      51 allocs/op
PASS
ok  	github.com/olekukonko/tablewriter/pkg/twwarp	14.503s
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwidth
cpu: Apple M2
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	  918825	      1282 ns/op	     629 B/op	       6 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	  919172	      1281 ns/op	     629 B/op	       6 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	  938370	      1282 ns/op	     630 B/op	       6 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	  937362	      1278 ns/op	     629 B/op	       6 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	  935720	      1277 ns/op	     629 B/op	       6 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	  936612	      1280 ns/op	     630 B/op	       6 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8       	  761580	      1748 ns/op	     875 B/op	       7 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8       	 2024666	      1043 ns/op	     503 B/op	       5 allocs/op
