goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWrapString-8             	    9099	    112930 ns/op	  88.93 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112000 ns/op	  89.67 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112813 ns/op	  89.02 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    113393 ns/op	  88.57 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    113068 ns/op	  88.82 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    114241 ns/op	  87.91 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    114153 ns/op	  87.98 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    116191 ns/op	  86.44 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	    9582	    115198 ns/op	  87.18 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    114098 ns/op	  88.02 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    114121 ns/op	  88.00 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113923 ns/op	  88.16 MB/s	   54024 B/op	      51 allocs/op
PASS
ok  	github.com/olekukonko/tablewriter/pkg/twwarp	14.179s
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwidth
cpu: Apple M2
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3147537	       373.9 ns/op	  93.60 MB/s	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3325702	       360.6 ns/op	  97.05 MB/s	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3324140	       362.1 ns/op	  96.66 MB/s	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3314284	       371.8 ns/op	  94.13 MB/s	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3313954	       360.7 ns/op	  97.04 MB/s	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3324577	       360.4 ns/op	  97.11 MB/s	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8       	 3160288	       437.9 ns/op	  79.92 MB/s	     155 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8       	 6597493	       483.6 ns/op	  72.38 MB/s	     165 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8       	 6356848	       215.2 ns/op	 162.63 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8       	 6344857	       211.4 ns/op	 165.58 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8       	 6373140	       210.2 ns/op	 166.50 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8       	 6373292	       212.2 ns/op	 164.93 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8        	81552210	        14.70 ns/op	2380.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8        	80075179	        14.86 ns/op	2354.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8        	79177435	        14.97 ns/op	2338.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8        	81024964	        14.73 ns/op	2375.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8        	81738768	        14.73 ns/op	2375.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8        	81763596	        14.86 ns/op	2355.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_NoCache-8          	 3285004	       362.1 ns/op	  96.66 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_NoCache-8          	 3315031	       360.5 ns/op	  97.10 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_NoCache-8          	 3334224	       361.6 ns/op	  96.80 MB/s	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_NoCache-8          	 3304832	       361.1 ns/op	  96.91 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_NoCache-8          	 2886735	       361.4 ns/op	  96.84 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_NoCache-8          	 3331317	       360.2 ns/op	  97.16 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheMiss-8        	 3070197	       401.6 ns/op	  87.15 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheMiss-8        	 6567956	       482.3 ns/op	  72.57 MB/s	     166 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheMiss-8        	 6371154	       210.9 ns/op	 165.98 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheMiss-8        	 6380640	       210.7 ns/op	 166.09 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheMiss-8        	 6390662	       211.1 ns/op	 165.80 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheMiss-8        	 6386658	       219.2 ns/op	 159.68 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	81066932	        14.71 ns/op	2379.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	80833027	        14.98 ns/op	2336.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	81808189	        14.71 ns/op	2378.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	81738301	        14.70 ns/op	2380.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	81916154	        14.70 ns/op	2381.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	81730646	        14.70 ns/op	2380.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1020 ns/op	  59.79 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1013 ns/op	  60.23 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1009 ns/op	  60.47 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1012 ns/op	  60.31 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1019 ns/op	  59.88 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1021 ns/op	  59.75 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 1000000	      1331 ns/op	  45.84 MB/s	     437 B/op	       7 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6894190	      1210 ns/op	  50.43 MB/s	     321 B/op	       7 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6548847	       221.1 ns/op	 275.84 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6557384	       218.4 ns/op	 279.30 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6474885	       217.1 ns/op	 280.96 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6556641	       228.8 ns/op	 266.62 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	80642001	        14.98 ns/op	4072.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	80439510	        14.88 ns/op	4100.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81132704	        14.80 ns/op	4122.10 MB/s	       0 B/op	       0 allocs/op
