goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWrapString-8             	    9069	    116071 ns/op	  86.52 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    117594 ns/op	  85.40 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    116111 ns/op	  86.49 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    116987 ns/op	  85.85 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    117705 ns/op	  85.32 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    116849 ns/op	  85.95 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapStringWithSpaces-8   	    9864	    143263 ns/op	  70.10 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	    6050	    169070 ns/op	  59.40 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    190366 ns/op	  52.76 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	    5169	    263367 ns/op	  38.13 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	    5788	    240726 ns/op	  41.72 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	    8263	    128540 ns/op	  78.13 MB/s	   54024 B/op	      51 allocs/op
PASS
ok  	github.com/olekukonko/tablewriter/pkg/twwarp	15.497s
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwidth
cpu: Apple M2
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8         	 1555495	       770.2 ns/op	  77.90 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8         	 1560879	       760.7 ns/op	  78.88 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8         	 1584412	       775.1 ns/op	  77.41 MB/s	     144 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8         	 1572102	       765.8 ns/op	  78.35 MB/s	     144 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8         	 1562941	       774.6 ns/op	  77.46 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8         	 1545903	       768.0 ns/op	  78.13 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8       	 1000000	      1154 ns/op	  51.98 MB/s	     428 B/op	       4 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8       	 6168502	      1026 ns/op	  58.45 MB/s	     317 B/op	       4 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8       	 5811280	       230.8 ns/op	 259.91 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8       	 5821071	       231.3 ns/op	 259.45 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8       	 5816461	       229.2 ns/op	 261.73 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8       	 5793093	       233.1 ns/op	 257.43 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8        	76766835	        15.12 ns/op	3967.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8        	79001292	        15.09 ns/op	3976.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8        	79994223	        15.06 ns/op	3984.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8        	79631042	        15.10 ns/op	3974.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8        	80032455	        15.06 ns/op	3984.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheHit-8        	80056930	        15.06 ns/op	3983.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8          	 1207135	       990.1 ns/op	  60.60 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8          	 1210813	       991.2 ns/op	  60.53 MB/s	     144 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8          	 1000000	      1045 ns/op	  57.42 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8          	 1000000	      1008 ns/op	  59.55 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8          	 1000000	      1002 ns/op	  59.89 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_NoCache-8          	 1000000	      1001 ns/op	  59.93 MB/s	     144 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8        	  995946	      1407 ns/op	  42.65 MB/s	     429 B/op	       4 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8        	 5987199	      1243 ns/op	  48.27 MB/s	     318 B/op	       4 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8        	 5962994	       223.0 ns/op	 269.01 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8        	 5793136	       222.8 ns/op	 269.35 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8        	 5942494	       238.0 ns/op	 252.06 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheMiss-8        	 5985957	       222.1 ns/op	 270.20 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8         	80424458	        14.76 ns/op	4066.07 MB/s	       0 B/op	       0 allocs/op
